[07-23-2020 06:48:13] 	 URL:https://www.jdsports.co.uk/product/black-jordan-air-jumpman-hip-pack/15979287/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:13] 	 URL:https://www.jdsports.co.uk/product/white-jordan-legacy-91-jumpman-air-cap/15958751/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:13] 	 URL:https://www.jdsports.co.uk/product/black-jordan-air-1-mid-womens/16010786/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:14] 	 URL:https://www.jdsports.co.uk/product/white-jordan-legacy-91-jumpman-air-cap/15973486/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 06:48:14] 	 URL:https://www.jdsports.co.uk/product/black-jordan-air-1-hi-og-womens/16007277/ 'NoneType' object has no attribute 'find_all' 
[01-14-2021 20:01:19] 	 URL:https://www.jdsports.co.uk/product/grey-nike-running-trail-vest/16071641/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:19] 	 URL:https://www.jdsports.co.uk/product/black-nike-accelerate-running-gloves/16071640/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:22] 	 URL:https://www.jdsports.co.uk/product/white-mckenzie-mini-essential-3-pack-t-shirts-children/16071469/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:22] 	 URL:https://www.jdsports.co.uk/product/green-nike-core-t-shirt/16071562/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:23] 	 URL:https://www.jdsports.co.uk/product/white-jordan-jumpman-crew-t-shirt/16068186/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:25] 	 URL:https://www.jdsports.co.uk/product/white-mckenzie-micro-essential-3-pack-t-shirt-infant/16071465/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:25] 	 URL:https://www.jdsports.co.uk/product/black-nike-miler-long-sleeve-t-shirt/16071484/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:25] 	 URL:https://www.jdsports.co.uk/product/blue-mckenzie-teo-fleece-crew-sweatshirt/16071453/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:26] 	 URL:https://www.jdsports.co.uk/product/grey-mckenzie-essential-long-sleeve-t-shirt/16071194/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:26] 	 URL:https://www.jdsports.co.uk/product/grey-nicce-mercury-fleece-tracksuit/16071481/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:27] 	 URL:https://www.jdsports.co.uk/product/black-duffer-octon-t-shirt/16071192/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:27] 	 URL:https://www.jdsports.co.uk/product/black-no-rights-reserved-2pac-smoke-t-shirt/16071475/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:27] 	 URL:https://www.jdsports.co.uk/product/blue-mckenzie-patrick-polo-shirt/16071010/ argument of type 'NoneType' is not iterable 
